Nuclide,T12
95Ag,1.75
96Ag,4.4
97Ag,25.5
98Ag,47.5
99Ag,124
100Ag,120.6
101Ag,666
102Ag,774
103Ag,3942
104Ag,4152
105Ag,3567456
106Ag,1437.6
107Ag,STABLE
108Ag,142.92
109Ag,STABLE
110Ag,24.6
111Ag,643680
112Ag,11268
113Ag,19332
114Ag,4.6
115Ag,1200
116Ag,237
117Ag,72.8
118Ag,3.76
119Ag,6
120Ag,1.23
121Ag,0.78
122Ag,0.529
123Ag,0.3
124Ag,0.191
125Ag,0.159
126Ag,0.052
127Ag,0.109
128Ag,0.058
129Ag,0.046
130Ag,0.042
131Ag,0.035
132Ag,0.028
96Cd,1.03
97Cd,1.1
98Cd,9.2
99Cd,16
100Cd,49.1
101Cd,81.6
102Cd,330
103Cd,438
104Cd,3462
105Cd,3330
107Cd,23400
109Cd,39864960
110Cd,STABLE
111Cd,STABLE
112Cd,STABLE
113Cd,2.52E+23
115Cd,192456
116Cd,1.04E+27
117Cd,8964
118Cd,3018
119Cd,161.4
120Cd,50.8
121Cd,13.5
122Cd,5.24
123Cd,2.1
124Cd,1.25
125Cd,0.68
126Cd,0.515
127Cd,0.37
128Cd,0.28
129Cd,0.154
130Cd,0.162
131Cd,0.068
132Cd,0.097
133Cd,0.057
134Cd,0.065
98In,0.032
99In,3
100In,5.8
101In,15.1
102In,23.3
103In,65
104In,108
105In,304.2
106In,372
107In,1944
108In,3480
109In,15001.2
110In,17640
111In,242326.08
112In,892.8
113In,STABLE
114In,71.9
115In,1.39E+22
116In,14.1
117In,2592
118In,5
119In,144
120In,3.08
121In,23.1
122In,1.5
123In,6.17
124In,3.12
125In,2.36
126In,1.53
127In,1.09
128In,0.84
129In,0.611
130In,0.29
131In,0.28
132In,0.207
133In,0.165
134In,0.14
135In,0.092
136In,0.085
137In,0.065
100Sn,1.16
101Sn,1.7
102Sn,3.8
103Sn,7
104Sn,20.8
105Sn,32.7
106Sn,115
107Sn,174
108Sn,618
109Sn,1080
110Sn,14796
111Sn,2118
113Sn,9943776
114Sn,STABLE
115Sn,STABLE
116Sn,STABLE
117Sn,STABLE
118Sn,STABLE
119Sn,STABLE
120Sn,STABLE
121Sn,97308
122Sn,STABLE
123Sn,11162880
125Sn,832896
126Sn,7.25825E+12
127Sn,7560
128Sn,3544.2
129Sn,133.8
130Sn,223.2
131Sn,56
132Sn,39.7
133Sn,1.46
134Sn,1.05
135Sn,0.53
136Sn,0.29
137Sn,0.19
138Sn,0.14
139Sn,0.13
104Sb,0.44
105Sb,1.22
106Sb,0.6
107Sb,4
108Sb,7.4
109Sb,17
110Sb,23
111Sb,75
112Sb,53.5
113Sb,400.2
114Sb,209.4
115Sb,1926
116Sb,948
117Sb,10080
118Sb,216
119Sb,137484
120Sb,953.4
121Sb,STABLE
122Sb,235336.32
123Sb,STABLE
124Sb,5201280
125Sb,87053533.06
126Sb,1067040
127Sb,332640
128Sb,32580
129Sb,15717.6
130Sb,2370
131Sb,1381.8
132Sb,167.4
133Sb,140.4
134Sb,0.78
135Sb,1.679
136Sb,0.923
137Sb,0.492
138Sb,0.348
139Sb,0.093
105Te,6.20E-07
106Te,0.00007
107Te,0.0031
108Te,2.1
109Te,4.6
110Te,18.6
111Te,19.3
112Te,120
113Te,102
114Te,912
115Te,348
116Te,8964
117Te,3720
118Te,518400
119Te,57780
120Te,STABLE
121Te,1656288
122Te,STABLE
124Te,STABLE
125Te,STABLE
126Te,STABLE
127Te,33660
128Te,7.61E+31
129Te,4194
130Te,9.47E+31
131Te,1500
132Te,276825.6
133Te,750
134Te,2508
135Te,19
