Nuclide,Element,Z,N,A,QB-,QB1n,QB2n,Half-Life,P1n,P2n,P1n-old,P2n-old,P1n-oldest,P2n-oldest,Q_{\beta^{-}},Q_{\beta^{-}n},Q_{\beta^{-}2n},Q_{\beta^{-}3n},Half-Life-old
88Se,Se,34,54,88,6831.8,1936.2,0,1.51,0.99,0,0.99,0,0.99(10),,6831.8(46),1936.2(46),,,1.51(6)
89Se,Se,34,55,89,9281.9,3652.3,0,0.44,7.8,0,7.8,0,7.8(25),,9281.9(50),3652.3(49),,,0.44(6)
90Se,Se,34,56,90,8200,4400,0,0.195,-1,0.001,-1,-1,-1,-1,8200(330),4400(330),,,0.195($^{+95}_{ -65}$)
91Se,Se,34,57,91,10530,5350,1550,0.27,21,-1,21,-1,21(10),-1,10530(430),5350(430),1550(430),,0.27(5)
92Se,Se,34,58,92,9510,6310,1130,-1,-1,-1,-1,-1,-1,-1,9510(400)\#,6310(400)\#,1130(400)\#,,-1
93Se,Se,34,59,93,12180,7450,4250,-1,-1,-1,-1,-1,-1,-1,12180(590)\#,7450(400)\#,4250(400)\#,,-1
94Se,Se,34,60,94,10600,8020,3290,-1,-1,-1,-1,-1,-1,-1,10600(580)\#,8020(660)\#,3290(500)\#,90(500)\#,-1
95Se,Se,34,61,95,13310,8870,6290,-1,-1,-1,-1,-1,-1,-1,13310(580)\#,8870(580)\#,6290(660)\#,1560(500)\#,-1
87Br,Br,35,52,87,6817.8,1302.7,0,55.64,2.53,0,2.53,0,2.53(10),,6817.8(32),1302.7(32),,,55.64(15)
88Br,Br,35,53,88,8975.3,1922.3,0,16.29,6.72,0,6.72,0,6.72(27),,8975.3(41),1922.3(32),,,16.29(8)
89Br,Br,35,54,89,8261.5,3345.7,0,4.338,13.7,0,13.7,0,13.7(6),,8261.5(39),3345.7(42),,,4.338(22)
90Br,Br,35,55,90,10959.0,4464.2,0,1.911,25.6,0,25.6,0,25.6(15),,10959.0(38),4464.2(40),,,1.911(10)
91Br,Br,35,56,91,9866.7,5780.6,0,0.544,29.8,0,29.8,0,29.8(8),,9866.7(42),5780.6(40),,,0.544(10)
92Br,Br,35,57,92,12536.5,6669.8,2583.8,0.334,33.1,-1,33.1,-1,33.1(25),-1,12536.5(72),6669.8(71),2583.8(70),,0.334(14)
93Br,Br,35,58,93,11250,7810,1940,0.152,64,-1,64,-1,64(7),-1,11250(430),7810(430),1940(430),,0.152(8)
94Br,Br,35,59,94,13950,8670,5230,0.070,30,-1,30,-1,30(10),-1,13950(300)\#,8670(300)\#,5230(300)\#,,0.070(20)
95Br,Br,35,60,95,12390,9510,4220,-1,-1,-1,-1,-1,-1,-1,12390(300)\#,9510(300)\#,4220(300)\#,780(300)\#,-1
96Br,Br,35,61,96,14920,9920,7040,-1,-1,-1,-1,-1,-1,-1,14920(300)\#,9920(300)\#,7040(300)\#,1760(300)\#,-1
97Br,Br,35,62,97,13370,10950,5960,-1,-1,-1,-1,-1,-1,-1,13370(420)\#,10950(400)\#,5960(400)\#,3080(400)\#,-1
98Br,Br,35,63,98,16060,11100,8690,-1,-1,-1,-1,-1,-1,-1,16060(500)\#,11100(420)\#,8690(400)\#,3690(400)\#,-1
91Kr,Kr,36,55,91,6771.1,319.1,0,8.57,0.001,0,-1,0,-1,,6771.1(81),319.1(69),,,8.57(4)
92Kr,Kr,36,56,92,6003.1,904.4,0,1.841,0.001,0,0.0332,0,0.0332(26),,6003.1(67),904.4(83),,,1.841(8)
